img1_index,img2_index,img1_name,img2_name,inliers,overlap
7,11,frame000007.png,frame000011.png,274,0.20073260073260074
7,12,frame000007.png,frame000012.png,167,0.13756177924217464
7,13,frame000007.png,frame000013.png,143,0.1200671704450042
7,14,frame000007.png,frame000014.png,145,0.10401721664275466
7,15,frame000007.png,frame000015.png,109,0.07506887052341597
7,16,frame000007.png,frame000016.png,136,0.0757238307349666
7,17,frame000007.png,frame000017.png,174,0.09602649006622517
7,18,frame000007.png,frame000018.png,165,0.09359047078842882
7,19,frame000007.png,frame000019.png,127,0.07510348905972797
7,20,frame000007.png,frame000020.png,93,0.05375722543352601
7,21,frame000007.png,frame000021.png,89,0.05031091011871114
8,9,frame000008.png,frame000009.png,520,0.2944507361268403
8,10,frame000008.png,frame000010.png,438,0.3058659217877095
8,11,frame000008.png,frame000011.png,295,0.21611721611721613
8,12,frame000008.png,frame000012.png,191,0.15733113673805602
8,13,frame000008.png,frame000013.png,159,0.13350125944584382
8,14,frame000008.png,frame000014.png,158,0.1133428981348637
8,15,frame000008.png,frame000015.png,137,0.0943526170798898
8,16,frame000008.png,frame000016.png,148,0.08380520951302378
8,17,frame000008.png,frame000017.png,177,0.10022650056625142
8,18,frame000008.png,frame000018.png,177,0.10039705048213272
8,19,frame000008.png,frame000019.png,128,0.07569485511531639
8,20,frame000008.png,frame000020.png,115,0.06647398843930635
9,10,frame000009.png,frame000010.png,408,0.2849162011173184
9,11,frame000009.png,frame000011.png,388,0.28424908424908424
9,12,frame000009.png,frame000012.png,241,0.1985172981878089
9,13,frame000009.png,frame000013.png,196,0.16456759026028547
9,14,frame000009.png,frame000014.png,171,0.12266857962697274
9,15,frame000009.png,frame000015.png,154,0.10606060606060606
9,16,frame000009.png,frame000016.png,166,0.09242761692650334
9,17,frame000009.png,frame000017.png,165,0.09105960264900662
9,18,frame000009.png,frame000018.png,146,0.08281338627339761
9,19,frame000009.png,frame000019.png,117,0.06918982850384388
9,20,frame000009.png,frame000020.png,107,0.061849710982658956
9,21,frame000009.png,frame000021.png,82,0.046353872244205764
10,11,frame000010.png,frame000011.png,463,0.3391941391941392
10,12,frame000010.png,frame000012.png,271,0.22322899505766064
10,13,frame000010.png,frame000013.png,235,0.19731318219983207
10,14,frame000010.png,frame000014.png,209,0.14992826398852224
10,15,frame000010.png,frame000015.png,186,0.12988826815642457
10,16,frame000010.png,frame000016.png,152,0.10614525139664804
10,17,frame000010.png,frame000017.png,141,0.09846368715083799
10,18,frame000010.png,frame000018.png,140,0.09776536312849161
10,19,frame000010.png,frame000019.png,101,0.07053072625698324
10,20,frame000010.png,frame000020.png,101,0.07053072625698324
